,Tourist_spot,Area,City,Rating,Categories,Address,coordinates,latitude,longitude
79,"Aheli Spa, The Roseate",,Delhi,5.0,Spas,"Aheli Spa, The Roseate,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
80,Old Delhi Bazaar Walk &amp; Haveli Visit,Minto Road,Delhi,5.0,"['Cultural Tours', 'Historical & Heritage Tours']","Old Delhi Bazaar Walk &amp; Haveli Visit,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
81,Driver India Private Tours,,Delhi,5.0,"['Multi-day Tours', 'Historical & Heritage Tours']","Driver India Private Tours,Delhi",India Dream Tours Private Limited,28.831000000000074,77.20005000000003
82,Kuber Tours,Open now,Delhi,5.0,Taxis & Shuttles,"Kuber Tours,Delhi","Delhi, Connaught Place, New Delhi, Delhi",28.63409000000007,77.21693000000005
83,Tony Bike Centre,,Delhi,4.5,Equipment Hire,"Tony Bike Centre,Delhi",Tony Bike Centre-Royal Enfield,28.64775000000003,77.19476000000003
84,Tirupati Cabs,Open now,Delhi,5.0,Taxis & Shuttles,"Tirupati Cabs,Delhi",Tirupati,28.63387000000006,77.22438000000005
85,WanderOn,,Delhi,5.0,"['Multi-day Tours', 'Adrenaline & Extreme Tours']","WanderOn,Delhi","Delhi, Connaught Place, New Delhi, Delhi",28.63409000000007,77.21693000000005
86,Auraveda Panchakarma Centre,,Delhi,5.0,Spas,"Auraveda Panchakarma Centre,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
87,MasterChef Cooking Classes,,Delhi,5.0,Cooking Classes,"MasterChef Cooking Classes,Delhi",Cooking Classes,28.63680000000005,77.09559000000007
88,Alpha India Holiday,,Delhi,5.0,Taxis & Shuttles,"Alpha India Holiday,Delhi",Indian Holiday,28.63226000000003,77.22741000000008
89,Trinetra Tours,Minto Road,Delhi,5.0,"['Multi-day Tours', 'Cultural Tours']","Trinetra Tours,Delhi",Trinetra Tours,28.640100000000075,77.07555000000008
90,Ambience Mall,Vasant Kunj/Vasant Vihar,Delhi,4.5,"['Speciality & Gift Shops', 'Shopping Malls']","Ambience Mall,Delhi",Ambience Mall,28.540850000000034,77.15539000000007
91,Lazer Crazer,,Delhi,5.0,Game & Entertainment Centres,"Lazer Crazer,Delhi","Laser Ave, Redwood Falls, Minnesota, 56283",44.56712190482784,-95.14724786183307
92,Prime India Travel,Open now,Delhi,5.0,Taxis & Shuttles,"Prime India Travel,Delhi",Prime India,28.526890000000037,77.21658000000008
93,Golden Triangle Delhi Agra Jaipur Tour.,Open now,Delhi,5.0,"['City Tours', 'Multi-day Tours']","Golden Triangle Delhi Agra Jaipur Tour.,Delhi","Delhi, Connaught Place, New Delhi, Delhi",28.63409000000007,77.21693000000005
94,Manoj Private Tour Driver India,Vasant Kunj/Vasant Vihar,Delhi,5.0,Taxis & Shuttles,"Manoj Private Tour Driver India,Delhi","Delhi, Connaught Place, New Delhi, Delhi",28.63409000000007,77.21693000000005
95,Santram Holidays,,Delhi,4.5,Taxis & Shuttles,"Santram Holidays,Delhi",Santram Holidays,28.660820000000058,77.28072000000003
96,Escape Reality Delhi,Open now,Delhi,5.0,Escape Games,"Escape Reality Delhi,Delhi",Reality,28.628100000000074,77.22210000000007
97,Taxis On Rent,Open now,Delhi,5.0,Taxis & Shuttles,"Taxis On Rent,Delhi","Delhi, Norfolk County, Ontario",42.85265300000003,-80.49914699999994
